GPS_Latitude,GPS_Longitude,Sections,GPS_Speed,Sebring Full Course
27.45437312,-81.34895564,,53.770355,
27.45439091,-81.34896918,,53.491982,
27.45440801,-81.3489837,,53.421768,
27.45442438,-81.34899918,,53.305573,
27.45444011,-81.34901546,,53.255554,
27.45445519,-81.34903253,,53.286625,
27.45446961,-81.34905035,,53.325768,
27.45448327,-81.34906902,,53.418972,
27.45449603,-81.34908836,,53.529888,
27.45450827,-81.34910857,,53.79335,
27.45451988,-81.34912945,,54.17363,
27.45453087,-81.34915098,,54.616043,
27.45454114,-81.34917321,,55.105686,
27.45455071,-81.34919608,,55.540646,
27.45455968,-81.34921948,,55.975605,
27.45456805,-81.34924337,,56.410568,
27.45457584,-81.34926772,,56.852982,
27.45458292,-81.3492926,,57.335167,
27.4545893,-81.34931794,,57.715446,
27.45459505,-81.34934366,,58.150406,
27.45460014,-81.34936942,,58.560513,
27.45460466,-81.34939569,,58.822727,
27.45460846,-81.34942216,,59.151123,
27.45461163,-81.34944862,,59.120052,
27.4546143,-81.34947498,,59.06506,
27.45461659,-81.34950111,,58.789177,
27.45461858,-81.34952692,,58.237396,
27.45462039,-81.34955227,,57.256874,
27.45462227,-81.34957708,,56.359612,
27.45462436,-81.34960144,,55.234306,
27.45462682,-81.3496254,,54.108383,
27.45462978,-81.34964898,,53.411205,
27.45463347,-81.34967224,,52.651268,
27.45463801,-81.34969506,,52.334991,
27.45464341,-81.349718,,52.490334,
27.45464965,-81.34974086,,52.648788,
27.45465672,-81.34976368,,52.891117,
27.45466475,-81.34978647,,53.611912,
27.45467362,-81.34980919,,54.115219,
27.45468317,-81.34983184,,54.680668,
27.45469336,-81.3498544,,55.295826,
27.45470416,-81.34987685,,55.842632,
27.45471565,-81.34989913,,56.283802,
27.45472779,-81.34992126,,56.780903,
27.45474048,-81.34994325,,57.277996,
27.45475356,-81.3499649,,57.770126,
27.45476726,-81.34998666,,58.272816,
27.45478147,-81.35000832,,58.820862,
27.454796,-81.35002993,,59.250233,
27.45481072,-81.3500515,,59.623055,
27.45482551,-81.35007305,,59.967915,
27.45484023,-81.35009461,,60.016068,
27.45485471,-81.35011621,,59.922863,
27.45486877,-81.3501379,,59.804497,
27.45488236,-81.35015971,,59.426083,
27.4548954,-81.3501817,,59.002304,
27.45490782,-81.3502039,,58.691616,
27.45491932,-81.3502262,,58.384037,
27.45493014,-81.3502491,,58.083298,
27.45494023,-81.35027234,,57.90683,
27.45494958,-81.35029592,,57.829777,
27.45495816,-81.35031983,,57.591171,
27.45496582,-81.35034412,,57.466896,
27.45497258,-81.35036871,,57.337654,
27.45497854,-81.35039354,,57.156212,
27.4549837,-81.35041859,,57.036907,
27.45498803,-81.35044382,,56.974773,
27.45499134,-81.35046925,,56.919258,
27.45499371,-81.35049483,,56.939972,
27.4549952,-81.35052026,,56.96048,
27.45499585,-81.35054601,,56.984093,
27.45499561,-81.35057179,,57.046227,
27.45499426,-81.35059756,,57.10619,
27.45499189,-81.35062324,,57.13726,
27.45498859,-81.35064879,,57.168327,
27.45498436,-81.35067416,,57.199394,
27.45497918,-81.35069933,,57.223938,
27.45497285,-81.35072419,,57.170502,
27.45496549,-81.35074875,,57.236988,
27.45495719,-81.35077303,,57.356915,
27.45494798,-81.35079702,,57.436447,
27.45493798,-81.35082048,,57.747757,
27.45492677,-81.35084382,,58.124306,
27.45491464,-81.35086682,,58.563,
27.45490168,-81.35088949,,59.06382,
27.45488791,-81.35091181,,59.619328,
27.45487337,-81.35093376,,60.116425,
27.45485789,-81.35095521,,60.609791,
